LEVEL2,LEVEL1,ALTERNATIVE,STATUS,STATUS NOTE,ITEMID,MIMIC LABEL,UNITNAME,LINKSTO,COUNT,CATEGORY,CONCEPTID,FLUID,LOINC_CODE,Unnamed: 15,PARAM_TYPE,NOTE
,,Site Width #4,,,224953,Impaired Skin Width #4,cm,chartevents,21938,Skin - Impairment,,,,,Numeric,
,,SV (Arterial),,,227547,SV (Arterial),mL/beat,chartevents,13522,Hemodynamics,,,,,Numeric,
,,Unable to assess pain,,,225112,Unable to assess pain,,chartevents,33922,Adm History/FHPA,,,,,Checkbox,
,,Unable to assess habits,,,225105,Unable to assess habits,,chartevents,35094,Adm History/FHPA,,,,,Checkbox,
,,Site Depth #2,,,224895,Impaired Skin Depth #2,cm,chartevents,20509,Skin - Impairment,,,,,Numeric,
,,PA Catheter Dressing Occlusive,,,227351,PA Catheter Dressing Occlusive,,chartevents,27216,Access Lines - Invasive,,,,,Checkbox,
,,Odor #6,,,224927,Impaired Skin Odor #6,,chartevents,15990,Skin - Impairment,,,,,Checkbox,
,,PAP Alarm - High,,,220063,Pulmonary Artery Pressure Alarm - High,mmHg,chartevents,29467,Alarms,,,,,Numeric,
,,PAP Alarm - Low,,,220066,Pulmonary Artery Pressure Alarm - Low,mmHg,chartevents,29363,Alarms,,,,,Numeric,
,,PA Catheter placed in outside facility,,,226114,PA Catheter placed in outside facility,,chartevents,24927,Access Lines - Invasive,,,,,Checkbox,
,,Arctic Sun/Alsius Temp #1 C,,,227632,Arctic Sun/Alsius Temp #1 C,?C,chartevents,46895,Routine Vital Signs,,,,,Numeric,
,,Temp Atrial Sens Setting mV,,,224753,Temporary Atrial Sens Setting mV,mV,chartevents,27825,Cardiovascular (Pacer Data),,,,,Numeric,
,,Mixed Venous O2% Sat,,,225674,Mixed Venous O2% Sat,%,chartevents,35350,Labs,,,,,Numeric,
,,Temp Atrial Stim Setting mA,,,224755,Temporary Atrial Stim Setting mA,mA,chartevents,27311,Cardiovascular (Pacer Data),,,,,Numeric,
,,Lipase,,,225672,Lipase,None,chartevents,18262,Labs,,,,,Numeric,
,,Arctic Sun/Alsius Temp #2 C,,,227634,Arctic Sun/Alsius Temp #2 C,?C,chartevents,43656,Routine Vital Signs,,,,,Numeric,
,,CO (thermodilution),,,220088,Cardiac Output (thermodilution),L/min,chartevents,24895,Hemodynamics,,,,,Numeric,
,,Current Used/mA,,,224662,Current Used/mA,mA,chartevents,26469,Pain/Sedation,,,,,Numeric,
,,Site Length #5,,,224919,Impaired Skin Length #5,cm,chartevents,13607,Skin - Impairment,,,,,Numeric,
,,ICP Line Dressing Occlusive,,,227363,ICP Line Dressing Occlusive,,chartevents,31331,Access Lines - Invasive,,,,,Checkbox,
,,ICP Line placed in outside facility,,,226129,ICP Line placed in outside facility,,chartevents,31395,Access Lines - Invasive,,,,,Checkbox,
,,CCO PAC Dressing Occlusive,,,227352,CCO PAC Dressing Occlusive,,chartevents,17087,Access Lines - Invasive,,,,,Checkbox,
,,Site Width #5,,,224954,Impaired Skin Width #5,cm,chartevents,13267,Skin - Impairment,,,,,Numeric,
,,Amylase,,,220581,Amylase,None,chartevents,14885,Labs,,,,,Numeric,
,,Differential-Bands,,,225638,Differential-Bands,None,chartevents,19077,Labs,,,,,Numeric,
,,SYS - Assisted,,,224309,Assisted Systole,mmHg,chartevents,33045,IABP,,,,,Numeric,
,,AUG,,,224310,Augmented Diastole,mmHg,chartevents,33008,IABP,,,,,Numeric,
,,Temp Atrial Sens Threshold mV,,,224752,Temporary Atrial Sens Threshold mV,mV,chartevents,24869,Cardiovascular (Pacer Data),,,,,Numeric,
,,DIA - Assisted,,,224311,BAEDP,mmHg,chartevents,32947,IABP,,,,,Numeric,
,,Temp Venticular Sens Threshold mV,,,223958,Temporary Venticular Sens Threshold mV,mV,chartevents,28034,Cardiovascular (Pacer Data),,,,,Numeric,
,,SYS - Unassisted,,,224652,Unassisted Systole,mmHg,chartevents,32494,IABP,,,,,Numeric,
,,DIA - Unassisted,,,224654,PAEDP,mmHg,chartevents,32450,IABP,,,,,Numeric,
,,Indwelling Port (PortaCath) Dressing Occlusive,,,227360,Indwelling Port (PortaCath) Dressing Occlusive,,chartevents,20116,Access Lines - Invasive,,,,,Checkbox,
,,Post menopausal,,,225085,Post menopausal,,chartevents,19208,Adm History/FHPA,,,,,Checkbox,
,,Pregnant,,,225082,Pregnant,,chartevents,19778,Adm History/FHPA,,,,,Checkbox,
,,Temp Atrial Stim Threshold mA,,,224754,Temporary Atrial Stim Threshold mA,mA,chartevents,23274,Cardiovascular (Pacer Data),,,,,Numeric,
,,Temp Venticular Stim Threshold mA,,,223960,Temporary Venticular Stim Threshold mA,mA,chartevents,26603,Cardiovascular (Pacer Data),,,,,Numeric,
,,Epidural Infusion Rate (mL/hr),,,224366,Epidural Infusion Rate (mL/hr),ml/hr,chartevents,19853,Pain/Sedation,,,,,Numeric,
,,CCO PAC placed in outside facility,,,226108,CCO PAC placed in outside facility,,chartevents,15092,Access Lines - Invasive,,,,,Checkbox,
,,Called Out,,,225280,Called Out,,chartevents,26069,General,,,,,Checkbox,
,,Differential-Atyps,,,225637,Differential-Atyps,None,chartevents,17789,Labs,,,,,Numeric,
,,Odor #7,,,224928,Impaired Skin Odor #7,,chartevents,10189,Skin - Impairment,,,,,Checkbox,
,,Pinsp (Draeger only),,,227187,Pinsp (Draeger only),cmH2O,chartevents,6049,Respiratory,,,,,Numeric,
,,Arctic Sun/Alsius Set Temp,,,227627,Arctic Sun/Alsius Set Temp,?C,chartevents,33113,Treatments,,,,,Numeric,
,,Stool Guaiac QC,,,227801,Stool Guaiac QC,,chartevents,15934,GI/GU,,,,,Checkbox,
,,Arctic Sun Water Temp,,,227628,Arctic Sun Water Temp,?C,chartevents,32760,Treatments,,,,,Numeric,
,,Baseline Current/mA,,,224661,Baseline Current/mA,mA,chartevents,19339,Pain/Sedation,,,,,Numeric,
,,Vancomycin (Trough),,,227455,Vancomycin (Trough),None,chartevents,18575,Labs,,,,,Numeric with tag,
,,Serum Osmolality,,,225684,Serum Osmolality,None,chartevents,23678,Labs,,,,,Numeric,
,,Midline Dressing Occlusive,,,227418,Midline Dressing Occlusive,,chartevents,12486,Access Lines - Invasive,,,,,Checkbox,
,,Site Depth #3,,,224896,Impaired Skin Depth #3,cm,chartevents,10923,Skin - Impairment,,,,,Numeric,
,,Vancomycin (Random),,,227454,Vancomycin (Random),None,chartevents,16379,Labs,,,,,Numeric with tag,
,,Temp Ventricular Sens Setting mV,,,224837,Temporary Ventricular Sens Setting mV,mV,chartevents,22687,Cardiovascular (Pacer Data),,,,,Numeric,
,,CK-MB fraction (%),,,225628,CK-MB fraction (%),None,chartevents,12151,Labs,,,,,Numeric,
,,Temp Ventricular Stim Setting mA,,,224838,Temporary Ventricular Stim Setting mA,mA,chartevents,22357,Cardiovascular (Pacer Data),,,,,Numeric,
,,Midline placed in outside facility,,,226112,Midline placed in outside facility,,chartevents,16742,Access Lines - Invasive,,,,,Checkbox,
,,ICU Consent Signed,,,226185,ICU Consent Signed,,chartevents,16112,General,,,,,Checkbox,
,,ETT Position Change,,,227809,ETT Position Change,,chartevents,20418,Respiratory,,,,,Checkbox,
,,ETT Re-taped,,,227810,ETT Re-taped,,chartevents,13458,Respiratory,,,,,Checkbox,
,,Legal Guardian,,,226889,Legal Guardian,,chartevents,12244,General,,,,,Checkbox,
,,Site Length #6,,,224920,Impaired Skin Length #6,cm,chartevents,8120,Skin - Impairment,,,,,Numeric,
,,Site Width #6,,,224955,Impaired Skin Width #6,cm,chartevents,8024,Skin - Impairment,,,,,Numeric,
,,Indwelling Port placed in outside facility,,,227439,Ndwelling Port (PortaCath) placed in outside facility,,chartevents,14268,Access Lines - Invasive,,,,,Checkbox,
,,Collar Care,,,225192,Collar Care,,chartevents,11523,Treatments,,,,,Checkbox,
,,ART BP Alarm - Low,,,227538,ART Blood Pressure Alarm - Low,mmHg,chartevents,16216,Alarms,,,,,Numeric,
,,ART BP Alarm - High,,,227537,ART Blood Pressure Alarm - High,mmHg,chartevents,16190,Alarms,,,,,Numeric,
,,PA Catheter Zero/Calibrate,,,225358,PA Catheter Zero/Calibrate,,chartevents,11509,Access Lines - Invasive,,,,,Checkbox,
,,Phenytoin (Dilantin),,,227461,Phenytoin (Dilantin),None,chartevents,8390,Labs,,,,,Numeric with tag,
,,Arterial Line Tip Cultured,,,225722,Arterial Line Tip Cultured,,chartevents,9803,Access Lines - Invasive,,,,,Checkbox,
,,Odor #8,,,224929,Impaired Skin Odor #8,,chartevents,5777,Skin - Impairment,,,,,Checkbox,
,,Site Depth #4,,,224897,Impaired Skin Depth #4,cm,chartevents,7187,Skin - Impairment,,,,,Numeric,
,,Bladder Pressure,,,223763,Bladder Pressure,mmHg,chartevents,8414,Routine Vital Signs,,,,,Numeric,
,,ICP Alarm - Low,,,223768,Intra Cranial Pressure Alarm - Low,mmHg,chartevents,14720,Alarms,,,,,Numeric,
,,PO2 (Venous),,,226063,Venous O2 Pressure,mmHg,chartevents,49633,Labs,,,,,Numeric,
,,ICP Alarm - High,,,223767,Intra Cranial Pressure Alarm - High,mmHg,chartevents,14596,Alarms,,,,,Numeric,
,,Trauma Line Dressing Occlusive,,,227353,Trauma Line Dressing Occlusive,,chartevents,7673,Access Lines - Invasive,,,,,Checkbox,
,,Multi Lumen Line Tip Cultured,,,225729,Multi Lumen Line Tip Cultured,,chartevents,8215,Access Lines - Invasive,,,,,Checkbox,
,,Site Length #7,,,224921,Impaired Skin Length #7,cm,chartevents,5195,Skin - Impairment,,,,,Numeric,
,,Site Width #7,,,224956,Impaired Skin Width #7,cm,chartevents,5185,Skin - Impairment,,,,,Numeric,
,,CCO PAC Zero/Calibrate,,,225228,CCO PAC Zero/Calibrate,,chartevents,6896,Access Lines - Invasive,,,,,Checkbox,
,,Trauma Line placed in outside facility,,,226119,Trauma Line placed in outside facility,,chartevents,7434,Access Lines - Invasive,,,,,Checkbox,
,,PCA bolus,,,224410,PCA bolus,None,chartevents,6556,Pain/Sedation,,,,,Numeric,
,,Tunneled (Hickman) Dressing Occlusive,,,227359,Tunneled (Hickman) Dressing Occlusive,,chartevents,6881,Access Lines - Invasive,,,,,Checkbox,
,,AVA Dressing Occlusive,,,227723,AVA Dressing Occlusive,,chartevents,7942,Access Lines - Invasive,,,,,Checkbox,
,,AVA Line placed in outside facility,,,227727,AVA Line placed in outside facility,,chartevents,7295,Access Lines - Invasive,,,,,Checkbox,
,,14 Gauge Dressing Occlusive,,,227365,14 Gauge Dressing Occlusive,,chartevents,5520,Access Lines - Peripheral,,,,,Checkbox,
,,Triglyceride,,,225693,Triglyceride,None,chartevents,11473,Labs,,,,,Numeric,
,,14 Gauge placed in outside facility,,,226135,14 Gauge placed in outside facility,,chartevents,5424,Access Lines - Peripheral,,,,,Checkbox,
,,Cortisol,,,227463,Cortisol,None,chartevents,5999,Labs,,,,,Numeric with tag,
,,PO2 (Mixed Venous),,,227516,PO2 (Mixed Venous),mmHg,chartevents,7223,Labs,,,,,Numeric,
,,Blood Transfusion Consent,,,226473,Blood Transfusion Consent,,chartevents,6042,General,,,,,Checkbox,
,,ICP Line Zero/Calibrate,,,226134,ICP Line Zero/Calibrate,,chartevents,10445,Access Lines - Invasive,,,,,Checkbox,
,,Cuff Volume (mL),,,224418,Cuff Volume (mL),mL,chartevents,8943,Respiratory,,,,,Numeric,
,,Permanent Pacemaker Rate,,,224845,Permanent Pacemaker Rate,/min,chartevents,6870,Cardiovascular (Pacer Data),,,,,Numeric,
,,Temp Pacemaker Wires Ground,,,223963,Temporary Pacemaker Wires Ground,None,chartevents,5802,Cardiovascular (Pacer Data),,,,,Numeric,
,,Tunneled (Hickman) placed in outside facility,,,226121,Tunneled (Hickman) placed in outside facility,,chartevents,5618,Access Lines - Invasive,,,,,Checkbox,
,,Site Depth #5,,,224898,Impaired Skin Depth #5,cm,chartevents,4165,Skin - Impairment,,,,,Numeric,
,,CI (PiCCO),,,228177,CI (PiCCO),L/min/m2,chartevents,5505,PiCCO,,,,,Numeric,
,,Sheath Line Dressing Occlusive,,,227356,Sheath Line Dressing Occlusive,,chartevents,6032,Access Lines - Invasive,,,,,Checkbox,
,,Site Length #8,,,224922,Impaired Skin Length #8,cm,chartevents,2938,Skin - Impairment,,,,,Numeric,
,,Site Width #8,,,224957,Impaired Skin Width #8,cm,chartevents,2920,Skin - Impairment,,,,,Numeric,
,,Odor #9,,,227604,Impaired Skin Odor #9,,chartevents,3040,Skin - Impairment,,,,,Checkbox,
,,Presep Catheter placed in outside facility,,,226116,Presep Catheter placed in outside facility,,chartevents,2416,Access Lines - Invasive,,,,,Checkbox,
,,Sheath placed in outside facility,,,226117,Sheath placed in outside facility,,chartevents,7583,Access Lines - Invasive,,,,,Checkbox,
,,FK506,,,227462,FK506,None,chartevents,5608,Labs,,,,,Numeric with tag,
,,IABP placed in outside facility,,,226110,IABP placed in outside facility,,chartevents,7695,Access Lines - Invasive,,,,,Checkbox,
,,CPP Alarm - Low,,,227717,Cerebral Perfusion Pressure Alarm - Low,mmHg,chartevents,6159,Alarms,,,,,Numeric,
,,IABP Dressing Occlusive,,,227355,IABP Dressing Occlusive,,chartevents,5650,Access Lines - Invasive,,,,,Checkbox,
,,IABP Zero/Calibrate,,,225342,IABP Zero/Calibrate,,chartevents,7370,Access Lines - Invasive,,,,,Checkbox,
,,IABP Alarms Activated,,,225981,IABP Alarms Activated,,chartevents,7482,Access Lines - Invasive,,,,,Checkbox,
,,CO (PiCCO),,,228178,CO (PiCCO),L/min,chartevents,4030,PiCCO,,,,,Numeric,
,,ScvO2 (Presep),,,227549,ScvO2 (Presep),%,chartevents,2428,Hemodynamics,,,,,Numeric,
,,CPP Alarm - High,,,227716,Cerebral Perfusion Pressure Alarm - High,mmHg,chartevents,5970,Alarms,,,,,Numeric,
,,Low risk (25-50) interventions,,,227348,Low risk (25-50) interventions,,chartevents,1995,Restraint/Support Systems,,,,,Checkbox,
,,IABP Volume,,,225980,IABP Volume,mL,chartevents,7268,Access Lines - Invasive,,,,,Numeric,
,,PICC Line Tip Cultured,,,225732,PICC Line Tip Cultured,,chartevents,4216,Access Lines - Invasive,,,,,Checkbox,
,,SVI (PiCCO),,,228182,SVI (PiCCO),mL/m2,chartevents,4309,PiCCO,,,,,Numeric,
,,Odor #10,,,227605,Impaired Skin Odor #10,,chartevents,2203,Skin - Impairment,,,,,Checkbox,
,,BiPap EPAP,,,227579,BiPap EPAP,cmH2O,chartevents,11104,Respiratory,,,,,Numeric,
,,BiPap O2 Flow,,,227582,BiPap O2 Flow,L/min,chartevents,10355,Respiratory,,,,,Numeric,
,,Site Depth #6,,,224899,Impaired Skin Depth #6,cm,chartevents,2542,Skin - Impairment,,,,,Numeric,
,,Family Meeting,,,224447,Family Meeting,,chartevents,1850,Restraint/Support Systems,,,,,Checkbox,
,,GI Guaiac QC,,,227802,GI Guaiac QC,,chartevents,3824,GI/GU,,,,,Checkbox,
,,Patient/Family Informed_V1,,,224855,Patient/Family Informed_V1,,chartevents,1726,Restraint/Support Systems,,,,,Checkbox,
,,Uric Acid,,,225695,Uric Acid,None,chartevents,5191,Labs,,,,,Numeric,
,,BiPap IPAP,,,227580,BiPap IPAP,cmH2O,chartevents,10594,Respiratory,,,,,Numeric,
,,Epidural Bolus (mL),,,224411,Epidural Bolus (mL),mL,chartevents,3508,Pain/Sedation,,,,,Numeric,
,,HDL,,,220624,HDL,None,chartevents,4547,Labs,,,,,Numeric,
,,14 Gauge placed in the field,,,228097,14 Gauge placed in the field,,chartevents,3856,Access Lines - Peripheral,,,,,Checkbox,
,,SVRI (PiCCO),,,228185,SVRI (PiCCO),dynes.sec.cm-5/m2,chartevents,3927,PiCCO,,,,,Numeric,
,,ACT,,,220507,Activated Clotting Time,None,chartevents,10348,Labs,,,,,Numeric,
,,LDL calculated,,,225671,LDL calculated,None,chartevents,4320,Labs,,,,,Numeric,
,,Digoxin,,,227440,Digoxin,None,chartevents,2517,Labs,,,,,Numeric with tag,
,,Site Length #9,,,227602,Impaired Skin Length #9,cm,chartevents,1768,Skin - Impairment,,,,,Numeric,
,,SVV (PiCCO),,,228184,SVV (PiCCO),%,chartevents,2773,PiCCO,,,,,Numeric,
,,Site Width #9,,,227614,Impaired Skin Width #9,cm,chartevents,1696,Skin - Impairment,,,,,Numeric,
,,Cordis/Introducer Line Tip Cultured,,,225724,Cordis/Introducer Line Tip Cultured,,chartevents,2461,Access Lines - Invasive,,,,,Checkbox,
,,Restraints Ordered,,,224856,Restraints Ordered,,chartevents,1242,Restraint/Support Systems,,,,,Checkbox,
,,GEDI (PiCCO),,,228180,GEDI (PiCCO),mL/m2,chartevents,2554,PiCCO,,,,,Numeric,
,,Tobacco use,,,225108,Tobacco use,,chartevents,1311,Adm History/FHPA,,,,,Checkbox,
,,ELWI (PiCCO),,,228179,ELWI (PiCCO),ml/kg,chartevents,2522,PiCCO,,,,,Numeric,
,,Pheresis Catheter Dressing Occlusive,,,227362,Pheresis Catheter Dressing Occlusive,,chartevents,1957,Access Lines - Invasive,,,,,Checkbox,
,,Pheresis Catheter placed in outside facility,,,226122,Pheresis Catheter placed in outside facility,,chartevents,3074,Access Lines - Invasive,,,,,Checkbox,
,,Brain Natiuretic Peptide (BNP),,,227446,Brain Natiuretic Peptide (BNP),None,chartevents,3997,Labs,,,,,Numeric with tag,
,,PAR-Remain sedated,,,228233,PAR-Remain sedated,,chartevents,7433,Routine Vital Signs,,,,,Checkbox,
,,IC2,,,227989,Intra Cranial Pressure #2,mmHg,chartevents,3951,Hemodynamics,,,,,Numeric,
,,Presep Catheter Zero/Calibrate,,,225389,Presep Catheter Zero/Calibrate,,chartevents,1044,Access Lines - Invasive,,,,,Checkbox,
,,P High (APRV),,,224705,P High (APRV),cmH2O,chartevents,2853,Respiratory,,,,,Numeric,
,,Medication Infusion Rate,,,227812,Medication Infusion Rate - Adjunctive Pain Management,None,chartevents,1857,Pain/Sedation,,,,,Numeric,
,,CFI (PiCCO),,,228176,CFI (PiCCO),L/min,chartevents,2217,PiCCO,,,,,Numeric,
,,AVA Line Zero/Calibrate,,,227731,AVA Line Zero/Calibrate,,chartevents,1760,Access Lines - Invasive,,,,,Checkbox,
,,T High (APRV),,,224707,T High (APRV),sec,chartevents,2820,Respiratory,,,,,Numeric,
,,P Low (APRV),,,224706,P Low (APRV),cmH2O,chartevents,2820,Respiratory,,,,,Numeric,
,,T Low (APRV),,,224709,T Low (APRV),sec,chartevents,2792,Respiratory,,,,,Numeric,
,,MDI #3 Puff,,,224175,MDI #3 Puff,None,chartevents,1958,Respiratory,,,,,Numeric,
,,QTc,,,224359,QTc,sec,chartevents,2608,Routine Vital Signs,,,,,Numeric,
,,Epidural Total Dose (mL),,,224367,Epidural Total Dose (mL),mL,chartevents,2859,Pain/Sedation,,,,,Numeric,
,,Central Venous O2% Sat,,,227686,Central Venous O2% Sat,%,chartevents,4290,Labs,,,,,Numeric,
,,Site Length #10,,,227603,Impaired Skin Length #10,cm,chartevents,1019,Skin - Impairment,,,,,Numeric,
,,GI pH,,,227586,GI pH,None,chartevents,1749,GI/GU,,,,,Numeric,
,,Negative Insp. Force,,,224419,Negative Insp. Force,cmH2O,chartevents,2917,Respiratory,,,,,Numeric,
,,Site Depth #7,,,224900,Impaired Skin Depth #7,cm,chartevents,1083,Skin - Impairment,,,,,Numeric,
,,Site Width #10,,,227615,Impaired Skin Width #10,cm,chartevents,972,Skin - Impairment,,,,,Numeric,
,,Total Protein,,,220650,Total Protein,None,chartevents,2604,Labs,,,,,Numeric,
,,Pump Speed,,,228195,Pump Speed,None,chartevents,3314,Tandem Heart,,,,,Numeric,
,,Stroke Volume Index (SVI NICOM),,,228375,Stroke Volume Index (SVI NICOM),%,chartevents,9340,NICOM,,,,,Numeric,
,,D-Dimer,,,225636,D-Dimer,None,chartevents,1400,Labs,,,,,Numeric,
,,Dialysis Catheter Tip Cultured,,,225725,Dialysis Catheter Tip Cultured,,chartevents,1367,Access Lines - Invasive,,,,,Checkbox,
,,C Reactive Protein (CRP),,,227444,C Reactive Protein (CRP),None,chartevents,2897,Labs,,,,,Numeric with tag,
,,Cardiac Output (CO NICOM),,,228369,Cardiac Output (CO NICOM),L/min,chartevents,8680,NICOM,,,,,Numeric,
,,Sed Rate,,,227470,Sed Rate,None,chartevents,960,Labs,,,,,Numeric with tag,
,,Ammonia,,,220580,Ammonia,None,chartevents,1746,Labs,,,,,Numeric,
,,Oxygenator Sweep Rate,,,228192,Oxygenator Sweep Rate,L/min,chartevents,2818,Tandem Heart,,,,,Numeric,
,,Tandem Heart Flow,,,228198,Tandem Heart Flow,L/min,chartevents,3296,Tandem Heart,,,,,Numeric,
,,Oxygenator/ECMO,,,228193,Oxygenator/ECMO,,chartevents,3020,Tandem Heart,,,,,Checkbox,
,,Stroke Volume Variation (SVI NICOM),,,228376,Stroke Volume Variation (SVV NICOM),None,chartevents,7510,NICOM,,,,,Numeric,
,,Stroke Volume (SV NICOM),,,228374,Stroke Volume (SV NICOM),mL/beat,chartevents,7998,NICOM,,,,,Numeric,
,,Total Granulocyte Count (TGC),,,225692,Total Granulocyte Count (TGC),None,chartevents,721,Labs,,,,,Numeric,
,,Infusion Pressure of Line,,,228191,Infusion Pressure of Line,None,chartevents,2283,Tandem Heart,,,,,Numeric,
,,PCV Level (Avea),,,224702,PCV Level (Avea),cmH2O,chartevents,4989,Respiratory,,,,,Numeric,
,,Cannulas Visible,,,228187,Cannulas Visible,,chartevents,3119,Tandem Heart,,,,,Checkbox,
,,Access Site Observed (Tandem Heart),,,228186,Access Site Observed (Tandem Heart),,chartevents,3048,Tandem Heart,,,,,Checkbox,
,,Return Site Observed (Tandem Heart),,,228196,Return Site Observed (Tandem Heart),,chartevents,3048,Tandem Heart,,,,,Checkbox,
,,Infusate Drops/Minute,,,228190,Infusate Drops/Minute,None,chartevents,1787,Tandem Heart,,,,,Numeric,
,,RVAD,,,220128,Right Ventricular Assist Device Flow,L/min,chartevents,1019,Hemodynamics,,,,,Numeric,
,,Vacuum Assist,,,224659,Vacuum Assist,mmHg,chartevents,997,Hemodynamics,,,,,Numeric,
,,VAD Beat Rate R,,,223775,VAD Beat Rate R,bpm,chartevents,1000,Hemodynamics,,,,,Numeric,
,,Presep Catheter Dressing Occlusive,,,227419,Presep Catheter Dressing Occlusive,,chartevents,594,Access Lines - Invasive,,,,,Checkbox,
,,Site Depth #9,,,227596,Impaired Skin Depth #9,cm,chartevents,746,Skin - Impairment,,,,,Numeric,
,,Vital Cap,,,224420,Vital Cap,Liters,chartevents,1687,Respiratory,,,,,Numeric,
,,Triple Introducer placed in outside facility,,,226120,Triple Introducer placed in outside facility,,chartevents,567,Access Lines - Invasive,,,,,Checkbox,
,,Triple Introducer Dressing Occlusive,,,227354,Triple Introducer Dressing Occlusive,,chartevents,529,Access Lines - Invasive,,,,,Checkbox,
,,Vibration in Line,,,228200,Vibration in Line,,chartevents,1712,Tandem Heart,,,,,Checkbox,
,,Sheath Zero/Calibrate,,,225771,Sheath Zero/Calibrate,,chartevents,1415,Access Lines - Invasive,,,,,Checkbox,
,,Skeletal Traction #1 - Pounds,,,227775,Skeletal Traction #1 - Pounds,lbs,chartevents,1358,Treatments,,,,,Numeric,
,,Estimated Energy Needs/Kg,,,226183,Estimated Energy Needs/Kg,kcal/kg,chartevents,498,General,,,,,Numeric,
,,In-line Suction Changed,,,227807,In-line Suction Catheter Changed,,chartevents,1312,Respiratory,,,,,Checkbox,
,,RIC Dressing Occlusive,,,227364,RIC Dressing Occlusive,,chartevents,1616,Access Lines - Peripheral,,,,,Checkbox,
,,RIC placed in outside facility,,,226140,RIC placed in outside facility,,chartevents,1612,Access Lines - Peripheral,,,,,Checkbox,
,,Manual BPd R,,,227242,Manual Blood Pressure Diastolic Right,mmHg,chartevents,1113,Routine Vital Signs,,,,,Numeric,
,,Estimated Protein Needs/Kg,,,226184,Estimated Protein Needs/Kg,g/kg,chartevents,468,General,,,,,Numeric,
,,Transpulmonary Press (Exp. Hold),,,224746,Transpulmonary Pressure (Exp. Hold),cmH2O,chartevents,6907,Respiratory,,,,,Numeric,
,,PA Catheter Line Tip Cultured,,,225730,PA Catheter Line Tip Cultured,,chartevents,1145,Access Lines - Invasive,,,,,Checkbox,
,,Transpulmonary Press (Insp. Hold),,,224747,Transpulmonary Pressure (Insp. Hold),cmH2O,chartevents,6805,Respiratory,,,,,Numeric,
,,Dwell Time (Hours),,,225810,Dwell Time (Peritoneal Dialysis),hour,chartevents,1774,Dialysis,,,,,Numeric,
,,Nitric Oxide,,,224749,Nitric Oxide,ppm,chartevents,1357,Respiratory,,,,,Numeric,
,,CCO PAC Line Tip Cultured,,,225723,CCO PAC Line Tip Cultured,,chartevents,611,Access Lines - Invasive,,,,,Checkbox,
,,Site Depth #8,,,224901,Impaired Skin Depth #8,cm,chartevents,590,Skin - Impairment,,,,,Numeric,
,,Pericardial Drain Aspiration,,,225989,Pericardial Drain Aspiration,,chartevents,1844,Cardiovascular,,,,,Checkbox,
,,Pin Care,,,225190,Pin Care,,chartevents,703,Treatments,,,,,Checkbox,
,,Change in Blood Color,,,228188,Change in Blood Color,,chartevents,1681,Tandem Heart,,,,,Checkbox,
,,Recruitment Duration,,,224711,Recruitment Duration,sec,chartevents,684,Respiratory,,,,,Numeric,
,,SV Neb Dose #2,,,224178,Small Volume Neb Dose #2,None,chartevents,1417,Respiratory,,,,,Numeric,
,,Calibrated (PiCCO),,,228175,Calibrated (PiCCO),,chartevents,962,PiCCO,,,,,Checkbox,
,,Flow Rate (L/min),,,224691,Flow Rate (L/min),L/min,chartevents,195594,Respiratory,,,,,Numeric,
,,Rest HR - Aerobic Capacity,,,227858,Rest HR - Aerobic Capacity,None,chartevents,373,OT Notes,,,,,Numeric,
,,ATC %,,,224704,ATC %,%,chartevents,721,Respiratory,,,,,Numeric,
,,Rest O2 Sat - Aerobic Capacity,,,227861,Rest O2 Sat - Aerobic Capacity,%,chartevents,356,OT Notes,,,,,Numeric,
,,Recruitment Press,,,224710,Recruitment Press,cmH2O,chartevents,589,Respiratory,,,,,Numeric,
,,Pericardial Drain Flush,,,225990,Pericardial Drain Flush,,chartevents,1947,Cardiovascular,,,,,Checkbox,
,,Rest RR - Aerobic Capacity,,,227860,Rest RR - Aerobic Capacity,None,chartevents,333,OT Notes,,,,,Numeric,
,,Pulsus Paradoxus,,,224192,Pulsus Paradoxus,None,chartevents,694,Routine Vital Signs,,,,,Numeric,
,,EF (CCO),,,226272,EF (CCO),%,chartevents,307,Hemodynamics,,,,,Numeric,
,,Recovery HR - Aerobic Capacity,,,227870,Recovery HR - Aerobic Capacity,None,chartevents,307,OT Notes,,,,,Numeric,
,,Recovery O2 Sat - Aerobic Capacity,,,227873,Recovery O2 Sat - Aerobic Capacity,%,chartevents,297,OT Notes,,,,,Numeric,
,,Nitric Oxide Tank Pressure,,,224750,Nitric Oxide Tank Pressure,psi,chartevents,975,Respiratory,,,,,Numeric,
,,Activity HR - Aerobic Capacity,,,227864,Activity HR - Aerobic Capacity,None,chartevents,292,OT Notes,,,,,Numeric,
,,Site Depth #10,,,227597,Impaired Skin Depth #10,cm,chartevents,359,Skin - Impairment,,,,,Numeric,
,,Activity O2 Sat - Aerobic Capacity,,,227867,Activity O2 Sat - Aerobic Capacity,%,chartevents,266,OT Notes,,,,,Numeric,
,,Phenobarbital,,,227460,Phenobarbital,None,chartevents,1481,Labs,,,,,Numeric with tag,
,,Activity RR - Aerobic Capacity,,,227866,Activity RR - Aerobic Capacity,None,chartevents,246,OT Notes,,,,,Numeric,
,,Recovery RR - Aerobic Capacity,,,227872,Recovery RR - Aerobic Capacity,None,chartevents,246,OT Notes,,,,,Numeric,
